country_code,country,year,consumption_growth,inflation,interest_rate,gdp_growth,unemployment
FRA,France,2004,-4.169,2.606,5.389,-1.005,8.763
FRA,France,2005,-4.581,3.005,4.994,2.071,8.556
FRA,France,2006,-3.8,2.155,4.64,2.057,8.519
FRA,France,2007,-3.149,2.09,4.317,-1.954,9.292
FRA,France,2008,-4.201,2.309,4.506,-0.327,8.879
FRA,France,2009,-4.911,2.162,4.611,-1.047,9.339
FRA,France,2010,-3.864,2.755,4.561,3.045,9.246
FRA,France,2011,-4.269,3.182,4.805,5.304,8.439
FRA,France,2012,-4.237,3.249,5.247,-0.576,7.916
FRA,France,2013,-4.095,2.405,4.657,0.962,7.58
FRA,France,2014,-3.555,2.381,4.276,1.192,7.061
FRA,France,2015,-2.663,2.31,3.658,0.688,7.131
FRA,France,2016,-3.375,2.242,3.444,3.307,6.799
FRA,France,2017,-2.669,2.386,3.501,2.414,6.735
FRA,France,2018,-1.659,1.653,3.255,2.207,6.504
FRA,France,2019,-1.349,1.027,3.124,0.947,6.492
FRA,France,2020,-2.54,1.106,2.836,2.173,7.189
FRA,France,2021,-3.429,3.461,3.177,-0.365,7.649
FRA,France,2022,-6.254,5.633,4.237,3.055,7.488
FRA,France,2023,-5.66,4.141,5.526,1.982,7.857
JPN,Japan,2000,0.045,-0.257,1.415,1.814,3.232
JPN,Japan,2001,-0.417,0.39,1.517,-2.112,4.124
JPN,Japan,2002,-0.534,0.346,1.397,-1.723,4.173
JPN,Japan,2003,-1.53,1.276,1.63,0.637,3.841
JPN,Japan,2004,-1.288,0.912,1.878,1.391,3.699
JPN,Japan,2005,-0.423,1.73,1.675,2.417,2.874
JPN,Japan,2006,-1.641,0.865,1.662,0.994,3.048
JPN,Japan,2007,-2.219,1.555,1.847,1.504,3.7
JPN,Japan,2008,-2.716,2.086,2.918,0.529,3.397
JPN,Japan,2009,-4.073,2.736,3.029,-0.255,3.791
JPN,Japan,2010,-3.996,2.166,2.995,3.439,3.66
JPN,Japan,2011,-4.42,3.574,3.691,0.636,3.519
JPN,Japan,2012,-3.865,2.364,3.616,2.527,3.619
JPN,Japan,2013,-2.799,1.875,3.733,0.466,4.331
JPN,Japan,2014,-1.937,0.82,2.994,-0.861,4.38
JPN,Japan,2015,-0.549,0.62,2.569,1.221,3.655
JPN,Japan,2016,-1.338,0.295,2.263,-1.356,4.054
JPN,Japan,2017,-1.052,0.64,2.339,0.855,4.329
JPN,Japan,2018,-1.682,1.454,2.55,3.774,3.662
JPN,Japan,2019,-1.429,0.598,2.791,2.853,2.958
JPN,Japan,2020,-2.498,1.052,2.711,-1.281,3.106
JPN,Japan,2021,-3.884,3.083,3.244,2.41,2.621
JPN,Japan,2022,-3.622,3.321,3.283,-2.818,3.176
JPN,Japan,2023,-3.438,1.998,2.986,-3.349,3.693
CAN,Canada,2000,-1.672,1.655,3.918,0.969,6.561
CAN,Canada,2001,-1.605,1.942,4.279,2.25,5.783
CAN,Canada,2002,-2.984,2.701,4.568,0.545,5.536
CAN,Canada,2003,-2.664,3.11,4.205,6.174,4.815
CAN,Canada,2004,-3.797,2.972,5.127,0.78,4.633
CAN,Canada,2005,-2.645,1.622,5.27,3.528,4.537
CAN,Canada,2006,-3.074,2.216,5.446,0.264,5.077
CAN,Canada,2007,-1.766,1.386,4.805,2.032,5.496
CAN,Canada,2008,-1.045,0.692,3.839,0.966,5.014
CAN,Canada,2009,-1.586,0.781,3.128,0.249,4.806
CAN,Canada,2010,-2.546,2.554,3.75,3.598,4.447
CAN,Canada,2011,-2.302,1.884,3.639,3.518,4.943
CAN,Canada,2012,-0.292,0.575,3.603,0.793,5.26
CAN,Canada,2013,-1.529,1.398,3.422,2.075,4.859
CAN,Canada,2014,-0.097,1.08,2.648,-1.642,5.116
CAN,Canada,2015,-0.765,1.377,3.484,0.985,5.298
CAN,Canada,2016,-2.069,2.152,3.387,2.087,5.302
CAN,Canada,2017,-2.071,2.214,3.432,0.563,5.452
CAN,Canada,2018,-3.183,2.982,4.092,2.737,5.42
CAN,Canada,2019,-3.347,3.279,5.354,0.442,5.577
CAN,Canada,2020,-5.818,3.891,5.887,4.112,5.22
CAN,Canada,2021,-7.072,6.35,7.057,2.485,4.656
CAN,Canada,2022,-8.738,8.099,7.629,3.507,4.533
CAN,Canada,2023,-8.154,6.83,7.839,3.901,4.191
AUS,Australia,2000,-3.154,2.448,5.214,2.104,4.503
AUS,Australia,2001,-3.561,3.289,4.965,-0.251,4.376
AUS,Australia,2002,-4.426,4.66,5.22,1.206,4.575
AUS,Australia,2003,-4.611,3.862,5.754,3.58,4.093
AUS,Australia,2004,-4.522,3.835,5.702,0.351,3.903
AUS,Australia,2005,-3.296,3.527,5.881,2.802,4.635
AUS,Australia,2006,-3.285,2.898,5.808,4.164,3.841
AUS,Australia,2007,-4.976,3.704,6.067,-0.025,3.368
AUS,Australia,2008,-5.011,3.413,5.76,-0.118,3.325
AUS,Australia,2009,-4.775,3.728,5.403,-0.909,3.465
AUS,Australia,2010,-4.441,4.162,5.535,0.911,3.693
AUS,Australia,2011,-4.535,3.797,5.939,3.732,3.49
AUS,Australia,2012,-3.895,3.099,5.965,1.506,3.913
AUS,Australia,2013,-2.902,2.453,5.218,0.235,4.036
AUS,Australia,2014,-2.492,2.35,4.987,3.262,3.326
AUS,Australia,2015,-3.046,3.028,5.682,5.54,3.672
AUS,Australia,2016,-3.464,2.855,5.777,2.053,4.198
AUS,Australia,2017,-3.154,2.266,5.742,3.841,3.865
AUS,Australia,2018,-4.294,3.103,6.544,-1.5,4.529
AUS,Australia,2019,-3.945,3.273,6.255,1.778,4.913
AUS,Australia,2020,-4.608,3.558,6.231,2.764,4.047
AUS,Australia,2021,-4.959,4.689,6.89,2.491,4.177
AUS,Australia,2022,-7.045,6.082,7.121,1.633,4.082
AUS,Australia,2023,-5.098,4.307,7.112,2.453,3.664
BRA,Brazil,2000,-10.767,6.077,12.225,0.882,9.601
BRA,Brazil,2001,-10.635,5.582,11.805,1.239,9.564
BRA,Brazil,2002,-10.634,6.215,12.42,2.124,9.262
BRA,Brazil,2003,-11.095,6.679,12.237,2.145,9.011
BRA,Brazil,2004,-11.558,6.867,12.009,5.506,7.573
BRA,Brazil,2005,-12.755,7.64,12.903,4.404,7.202
BRA,Brazil,2006,-12.151,7.021,12.553,0.425,7.686
BRA,Brazil,2007,-12.238,6.792,12.539,2.828,8.133
BRA,Brazil,2008,-11.521,6.311,12.293,0.382,7.788
BRA,Brazil,2009,-12.915,6.318,12.28,0.149,8.095
BRA,Brazil,2010,-9.774,5.962,11.77,1.629,8.163
BRA,Brazil,2011,-10.037,5.919,11.361,3.75,7.771
BRA,Brazil,2012,-10.804,6.628,11.556,-0.456,8.176
BRA,Brazil,2013,-10.183,5.691,11.084,0.192,8.934
BRA,Brazil,2014,-9.455,5.067,10.764,2.875,8.259
BRA,Brazil,2015,-8.689,5.551,10.422,1.818,8.418
BRA,Brazil,2016,-8.527,5.113,10.417,1.285,8.944
BRA,Brazil,2017,-8.014,4.96,10.613,-0.101,8.378
BRA,Brazil,2018,-8.852,4.977,10.974,2.449,8.76
BRA,Brazil,2019,-10.938,6.357,11.089,0.046,8.209
BRA,Brazil,2020,-10.622,5.63,10.555,-3.223,8.766
BRA,Brazil,2021,-11.854,8.363,11.268,2.022,8.175
BRA,Brazil,2022,-12.936,8.39,13.104,1.262,9.015
BRA,Brazil,2023,-14.004,8.093,14.084,2.168,8.877
MEX,Mexico,2000,-6.519,4.65,7.087,-0.15,4.079
MEX,Mexico,2001,-5.545,4.386,7.121,3.077,3.337
MEX,Mexico,2002,-5.695,4.337,7.339,4.041,2.844
MEX,Mexico,2003,-6.083,4.675,7.278,3.066,2.992
MEX,Mexico,2004,-8.552,5.872,8.487,2.484,2.554
MEX,Mexico,2005,-7.45,4.998,7.942,0.156,2.534
MEX,Mexico,2006,-6.299,4.689,7.847,0.588,3.199
MEX,Mexico,2007,-5.636,3.616,7.47,-0.163,2.496
MEX,Mexico,2008,-6.375,3.454,7.713,0.137,2.844
MEX,Mexico,2009,-6.254,3.59,7.363,0.127,2.834
MEX,Mexico,2010,-6.2,4.14,7.237,-0.31,3.013
MEX,Mexico,2011,-6.193,4.244,8.023,1.509,2.758
MEX,Mexico,2012,-7.009,4.732,8.168,2.207,3.119
MEX,Mexico,2013,-6.837,4.14,8.423,-1.437,3.079
MEX,Mexico,2014,-6.201,3.481,7.266,0.6,3.421
MEX,Mexico,2015,-3.615,1.17,6.243,1.247,2.935
MEX,Mexico,2016,-2.64,1.523,5.355,3.691,2.418
MEX,Mexico,2017,-3.116,2.225,5.317,2.083,2.516
MEX,Mexico,2018,-4.41,3.354,5.951,2.467,2.099
MEX,Mexico,2019,-4.718,3.336,6.875,-0.871,2.942
MEX,Mexico,2020,-4.98,3.36,7.26,3.149,2.838
MEX,Mexico,2021,-7.759,6.325,7.288,-0.081,3.156
MEX,Mexico,2022,-9.801,8.245,8.618,0.728,3.443
MEX,Mexico,2023,-9.583,7.198,9.238,3.981,3.22
IND,India,2000,-4.943,7.0,8.167,3.801,4.583
IND,India,2001,-3.745,5.419,8.304,9.397,4.282
IND,India,2002,-3.039,5.198,8.393,8.456,3.755
IND,India,2003,-4.303,6.06,8.429,7.899,3.634
IND,India,2004,-4.717,6.6,9.009,7.246,3.272
IND,India,2005,-4.177,5.593,8.613,5.92,2.809
IND,India,2006,-3.869,5.296,9.044,6.83,2.102
IND,India,2007,-3.837,5.618,9.218,6.262,1.937
IND,India,2008,-4.982,5.14,8.848,5.996,2.465
IND,India,2009,-4.983,5.541,9.393,3.575,2.38
IND,India,2010,-4.102,5.526,8.789,4.271,2.266
IND,India,2011,-3.782,5.656,8.664,3.96,2.038
IND,India,2012,-3.332,5.405,8.186,6.992,1.594
IND,India,2013,-2.096,4.891,7.92,7.942,1.611
IND,India,2014,-2.23,4.335,7.629,7.764,1.544
IND,India,2015,-2.435,4.573,7.316,7.88,2.222
IND,India,2016,-0.543,3.808,6.735,7.6,1.588
IND,India,2017,-1.591,4.203,7.44,5.388,1.747
IND,India,2018,-3.661,4.873,8.017,5.668,2.512
IND,India,2019,-4.177,5.946,8.256,8.94,2.943
IND,India,2020,-4.191,5.422,8.432,2.158,2.561
IND,India,2021,-5.244,7.011,9.184,7.524,2.094
IND,India,2022,-6.801,8.506,10.023,5.439,2.233
IND,India,2023,-6.653,7.708,10.215,4.375,2.011
CHN,China,2000,3.073,2.366,4.24,6.906,4.004
CHN,China,2001,3.363,2.242,4.02,7.407,3.822
CHN,China,2002,2.807,1.987,3.349,6.169,3.601
CHN,China,2003,2.674,2.972,3.922,8.708,2.613
CHN,China,2004,3.668,2.858,3.728,8.69,1.834
CHN,China,2005,2.517,3.395,3.808,5.974,1.5
CHN,China,2006,3.366,2.244,3.614,6.229,1.5
CHN,China,2007,2.985,2.649,3.717,4.822,2.07
CHN,China,2008,1.596,2.585,4.146,5.536,1.5
CHN,China,2009,0.822,3.071,5.145,3.352,2.302
CHN,China,2010,0.946,3.852,5.214,6.75,1.5
CHN,China,2011,-0.058,4.207,5.88,6.694,1.5
CHN,China,2012,1.033,4.092,6.19,7.889,1.5
CHN,China,2013,1.864,2.845,5.416,3.777,1.535
CHN,China,2014,3.219,2.128,4.988,9.428,1.621
CHN,China,2015,4.33,1.038,4.166,5.763,1.536
CHN,China,2016,4.543,1.259,3.603,3.842,1.5
CHN,China,2017,3.443,1.732,4.086,6.816,1.5
CHN,China,2018,3.642,1.375,4.026,4.821,2.126
CHN,China,2019,4.517,1.552,3.614,8.024,2.042
CHN,China,2020,2.07,2.827,3.659,7.095,2.191
CHN,China,2021,0.168,5.263,5.178,2.976,2.181
CHN,China,2022,-1.055,6.395,5.809,5.348,2.129
CHN,China,2023,-0.48,5.486,6.381,6.409,1.82
KOR,"Korea, Rep.",2000,-0.635,2.251,4.526,-0.314,3.429
KOR,"Korea, Rep.",2001,-0.932,2.02,3.713,2.022,3.01
KOR,"Korea, Rep.",2002,-1.549,2.662,3.368,2.035,3.264
KOR,"Korea, Rep.",2003,-0.472,1.613,3.647,1.874,3.325
KOR,"Korea, Rep.",2004,-1.052,1.363,3.102,1.475,3.103
KOR,"Korea, Rep.",2005,0.306,0.975,2.738,2.936,2.851
KOR,"Korea, Rep.",2006,-0.568,1.423,3.295,3.018,2.677
KOR,"Korea, Rep.",2007,-0.217,1.584,3.354,6.218,1.955
KOR,"Korea, Rep.",2008,0.122,1.536,2.946,1.894,1.956
KOR,"Korea, Rep.",2009,-0.703,0.405,3.416,1.25,2.007
KOR,"Korea, Rep.",2010,0.934,0.79,2.639,5.38,2.065
KOR,"Korea, Rep.",2011,0.817,1.491,2.681,3.17,1.947
KOR,"Korea, Rep.",2012,-0.316,1.762,3.242,3.95,1.573
KOR,"Korea, Rep.",2013,0.23,1.305,2.699,3.252,1.66
KOR,"Korea, Rep.",2014,0.494,0.228,3.099,0.682,1.5
KOR,"Korea, Rep.",2015,1.386,-0.028,2.845,5.934,1.5
KOR,"Korea, Rep.",2016,-0.061,1.151,2.668,3.595,1.5
KOR,"Korea, Rep.",2017,0.241,1.298,3.368,-0.116,1.998
KOR,"Korea, Rep.",2018,-0.814,2.236,3.197,5.233,2.098
KOR,"Korea, Rep.",2019,-0.783,2.161,3.637,2.531,1.759
KOR,"Korea, Rep.",2020,-2.597,2.362,3.419,0.538,2.118
KOR,"Korea, Rep.",2021,-2.84,4.5,4.228,2.929,2.593
KOR,"Korea, Rep.",2022,-4.688,6.066,5.239,3.605,2.648
KOR,"Korea, Rep.",2023,-3.871,5.119,5.356,3.943,2.888
IDN,Indonesia,2000,-4.106,5.172,8.332,4.583,5.03
IDN,Indonesia,2001,-4.765,4.789,8.163,3.783,4.341
IDN,Indonesia,2002,-5.076,5.031,7.78,4.641,4.094
IDN,Indonesia,2003,-5.021,5.266,8.196,6.906,3.683
IDN,Indonesia,2004,-5.002,4.926,8.556,6.503,3.298
IDN,Indonesia,2005,-3.453,4.631,7.766,2.743,3.549
IDN,Indonesia,2006,-3.672,4.65,8.28,8.336,3.341
IDN,Indonesia,2007,-4.854,4.531,8.515,5.111,3.149
IDN,Indonesia,2008,-7.295,5.69,9.757,3.318,2.366
IDN,Indonesia,2009,-6.866,5.736,10.291,3.654,2.533
IDN,Indonesia,2010,-5.975,5.418,9.989,5.286,3.082
IDN,Indonesia,2011,-6.661,5.806,9.611,4.238,2.732
IDN,Indonesia,2012,-7.136,5.818,9.874,2.155,3.473
IDN,Indonesia,2013,-5.789,5.655,9.703,5.725,2.942
IDN,Indonesia,2014,-6.259,5.376,9.691,4.361,2.855
IDN,Indonesia,2015,-4.154,3.699,8.562,6.586,3.019
IDN,Indonesia,2016,-2.035,3.182,7.444,4.937,2.055
IDN,Indonesia,2017,-2.019,3.339,7.02,5.23,2.926
IDN,Indonesia,2018,-3.184,4.098,7.561,8.004,2.178
IDN,Indonesia,2019,-4.957,4.658,7.996,5.12,2.036
IDN,Indonesia,2020,-4.81,4.49,8.127,2.026,2.683
IDN,Indonesia,2021,-7.062,6.929,8.663,3.704,3.135
IDN,Indonesia,2022,-8.176,8.628,9.801,4.205,3.275
IDN,Indonesia,2023,-6.67,6.419,9.163,5.609,3.233
ZAF,South Africa,2000,-5.996,3.569,8.679,2.942,24.456
ZAF,South Africa,2001,-6.886,4.237,7.895,4.746,23.326
ZAF,South Africa,2002,-6.147,4.6,7.911,5.971,22.842
ZAF,South Africa,2003,-8.036,5.235,7.426,0.714,23.352
ZAF,South Africa,2004,-7.511,4.128,8.157,2.484,22.635
ZAF,South Africa,2005,-8.081,5.218,8.243,1.453,22.479
ZAF,South Africa,2006,-7.041,4.628,8.103,0.952,23.418
ZAF,South Africa,2007,-6.766,4.637,8.24,8.899,23.047
ZAF,South Africa,2008,-9.087,5.027,8.782,2.979,23.223
ZAF,South Africa,2009,-8.197,4.446,8.83,1.969,22.512
ZAF,South Africa,2010,-8.133,4.943,8.956,-0.528,23.486
ZAF,South Africa,2011,-7.568,5.274,9.041,1.315,23.291
ZAF,South Africa,2012,-9.82,6.124,10.464,4.81,22.985
ZAF,South Africa,2013,-10.871,5.997,11.1,0.905,22.784
ZAF,South Africa,2014,-9.641,5.155,10.388,1.603,22.503
ZAF,South Africa,2015,-8.933,5.332,10.41,0.584,22.741
ZAF,South Africa,2016,-8.624,4.855,9.616,3.399,22.629
ZAF,South Africa,2017,-8.771,4.204,9.367,1.141,23.166
ZAF,South Africa,2018,-7.486,4.256,9.326,1.21,22.841
ZAF,South Africa,2019,-8.278,4.427,8.919,-1.806,23.699
ZAF,South Africa,2020,-7.614,3.626,7.728,-1.059,24.432
ZAF,South Africa,2021,-6.933,4.754,7.208,1.322,24.327
ZAF,South Africa,2022,-8.894,6.427,8.299,0.062,24.435
ZAF,South Africa,2023,-8.027,5.328,9.072,-0.349,24.099
TUR,Turkiye,2000,-17.78,12.817,16.103,3.405,10.249
TUR,Turkiye,2001,-18.373,13.443,16.335,0.89,10.519
TUR,Turkiye,2002,-17.76,13.043,16.127,1.747,9.976
TUR,Turkiye,2003,-18.292,13.649,16.624,5.683,9.919
TUR,Turkiye,2004,-18.085,13.059,17.112,2.099,10.004
TUR,Turkiye,2005,-17.772,12.575,17.795,4.383,10.704
TUR,Turkiye,2006,-17.965,12.661,16.692,2.042,10.847
TUR,Turkiye,2007,-16.075,10.914,16.249,1.981,10.413
TUR,Turkiye,2008,-16.199,10.936,15.41,5.822,9.27
TUR,Turkiye,2009,-16.945,11.047,15.238,1.624,9.174
TUR,Turkiye,2010,-16.151,11.77,15.166,5.639,8.77
TUR,Turkiye,2011,-16.526,11.576,15.157,3.984,9.548
TUR,Turkiye,2012,-15.624,11.625,14.939,5.308,9.489
TUR,Turkiye,2013,-15.493,11.386,14.415,5.741,9.381
TUR,Turkiye,2014,-14.923,11.253,14.31,4.832,9.171
TUR,Turkiye,2015,-14.929,11.128,14.055,4.875,8.314
TUR,Turkiye,2016,-13.763,10.657,13.692,7.492,8.15
TUR,Turkiye,2017,-13.879,10.491,13.177,2.477,8.471
TUR,Turkiye,2018,-13.802,11.058,12.64,4.491,8.561
TUR,Turkiye,2019,-15.148,12.271,13.088,3.822,8.918
TUR,Turkiye,2020,-15.478,11.676,14.079,2.575,9.242
TUR,Turkiye,2021,-16.773,13.585,14.708,4.892,8.475
TUR,Turkiye,2022,-19.277,15.197,15.608,1.741,8.669
TUR,Turkiye,2023,-19.775,14.514,16.506,1.513,8.716
POL,Poland,2000,-3.171,3.364,5.574,2.342,6.091
POL,Poland,2001,-4.288,4.456,6.246,5.901,5.338
POL,Poland,2002,-4.683,5.222,6.783,7.398,4.481
POL,Poland,2003,-5.557,4.998,7.548,2.01,4.622
POL,Poland,2004,-3.4,3.715,6.981,4.949,4.554
POL,Poland,2005,-4.33,3.711,6.72,0.237,4.55
POL,Poland,2006,-4.267,3.959,7.477,4.345,4.862
POL,Poland,2007,-3.925,2.749,7.074,0.447,5.524
POL,Poland,2008,-2.328,2.047,5.691,1.417,5.683
POL,Poland,2009,-2.133,1.788,5.349,3.584,5.689
POL,Poland,2010,-1.858,2.396,5.228,1.831,5.587
POL,Poland,2011,-1.921,1.913,5.583,3.903,5.618
POL,Poland,2012,-1.832,2.86,5.25,3.996,4.131
POL,Poland,2013,-3.003,3.172,5.808,2.031,4.317
POL,Poland,2014,-3.491,2.73,5.074,5.302,3.486
POL,Poland,2015,-1.505,2.284,5.258,2.461,4.308
POL,Poland,2016,-2.747,2.532,6.016,4.165,4.243
POL,Poland,2017,-3.1,2.062,6.172,1.164,4.617
POL,Poland,2018,-2.896,3.007,5.881,2.311,4.504
POL,Poland,2019,-3.091,3.285,6.212,3.984,4.85
POL,Poland,2020,-3.667,3.2,6.081,-0.799,5.903
POL,Poland,2021,-4.602,4.786,7.423,2.988,5.233
POL,Poland,2022,-7.937,7.06,8.192,5.142,5.248
POL,Poland,2023,-5.315,4.943,8.09,4.412,4.805
ESP,Spain,2000,-1.726,1.76,3.312,1.412,14.517
ESP,Spain,2001,-3.403,2.881,3.534,0.266,15.473
ESP,Spain,2002,-3.904,3.226,4.063,7.384,14.416
ESP,Spain,2003,-4.492,3.323,3.775,-0.722,14.529
ESP,Spain,2004,-2.681,1.898,3.852,3.828,13.934
ESP,Spain,2005,-1.631,0.843,3.275,-1.074,14.049
ESP,Spain,2006,-0.757,0.017,2.382,3.91,13.833
ESP,Spain,2007,-1.16,1.461,2.43,-2.812,13.567
ESP,Spain,2008,-2.745,2.075,2.598,2.133,12.988
ESP,Spain,2009,-3.45,2.061,2.887,-1.48,13.827
ESP,Spain,2010,-1.962,1.292,2.817,5.031,13.108
ESP,Spain,2011,-2.32,1.605,2.359,1.433,13.484
ESP,Spain,2012,-0.198,1.353,1.756,2.413,13.63
ESP,Spain,2013,-0.949,0.947,1.977,0.308,13.289
ESP,Spain,2014,-0.902,1.031,2.547,0.923,12.963
ESP,Spain,2015,0.498,0.469,1.153,1.58,13.523
ESP,Spain,2016,-0.65,0.861,0.861,2.557,13.737
ESP,Spain,2017,-1.174,1.825,1.295,-0.41,14.188
ESP,Spain,2018,-2.435,2.291,2.625,-0.26,14.531
ESP,Spain,2019,-2.788,2.55,2.495,-1.958,13.809
ESP,Spain,2020,-1.923,1.497,1.387,-0.954,13.699
ESP,Spain,2021,-3.47,3.308,2.031,0.33,13.623
ESP,Spain,2022,-4.324,4.943,2.913,-0.887,13.554
ESP,Spain,2023,-3.99,3.757,3.545,1.675,14.055
ITA,Italy,2000,-3.595,2.698,3.797,4.542,9.726
ITA,Italy,2001,-4.689,3.238,4.265,1.891,9.866
ITA,Italy,2002,-5.225,3.759,4.772,0.222,9.594
ITA,Italy,2003,-5.003,3.763,4.622,-0.718,9.315
ITA,Italy,2004,-5.37,3.995,5.124,-0.764,9.592
ITA,Italy,2005,-5.333,3.102,5.303,-1.162,9.229
ITA,Italy,2006,-4.404,2.396,5.065,-4.059,10.104
ITA,Italy,2007,-5.011,2.901,5.067,2.11,8.718
ITA,Italy,2008,-4.836,2.51,4.15,-0.857,8.976
ITA,Italy,2009,-5.783,3.273,4.166,-2.541,9.097
ITA,Italy,2010,-4.654,3.103,4.56,-0.28,9.745
ITA,Italy,2011,-5.921,3.662,5.63,0.719,9.813
ITA,Italy,2012,-5.016,2.546,5.12,1.334,10.035
ITA,Italy,2013,-4.269,2.527,4.831,0.955,9.688
ITA,Italy,2014,-4.701,2.212,5.216,3.742,8.972
ITA,Italy,2015,-3.831,0.603,4.639,1.299,9.49
ITA,Italy,2016,-2.022,0.959,3.897,1.801,9.513
ITA,Italy,2017,-1.898,0.527,3.294,0.609,9.894
ITA,Italy,2018,-3.309,1.926,3.478,1.397,10.095
ITA,Italy,2019,-3.504,2.375,3.542,0.488,9.297
